metric,index,mean,std
time,0,7.348282345858487,15.299951822628053
time,1,0.6170639558271929,0.4453096198748213
time,2,0.808305228840221,0.8065874609869859
time,3,0.9494994597001509,0.621747377538932
time,4,1.6458740234375,1.1721823817053305
time,5,9.087207117947665,8.047452112800743
time,6,8.441856336593627,7.289855027517204
time,7,8.744187224995006,7.637440574096922
time,8,8.951950342004949,7.861277071708953
time,9,9.04257027019154,8.005656374264994
time,10,0.2611178571527654,0.2539685313158435
time,11,14.661053310741078,13.491712219726674
time,12,0.16285338401794433,0.1358430234079393
time,13,8.898053320971401,7.514209846930456
time,14,0.026145332509821113,0.01709251231512132
time,15,0.03586007031527433,0.030592502887606482
time,16,0.0362932335246693,0.02415964560124149
accuracy (train),0,0.8628618603090186,0.18088353812436034
accuracy (train),1,0.5869566820604681,0.16510464168500988
accuracy (train),2,0.6645014712913837,0.17357229180907252
accuracy (train),3,0.7385565192130678,0.178813544863453
accuracy (train),4,0.825267651741241,0.17927966375138238
accuracy (train),5,0.9998799537846335,0.00013511682461544536
accuracy (train),6,0.8205881871079209,0.10926160331272466
accuracy (train),7,0.9158829322892149,0.0689121182721033
accuracy (train),8,0.967032152224256,0.037293705165562664
accuracy (train),9,0.9931849197155662,0.011622991409472233
accuracy (train),10,1.0,0.0
accuracy (train),11,1.0,0.0
accuracy (train),12,0.2618161499215701,0.11469898254404472
accuracy (train),13,0.46029601168620554,0.1743455200998148
accuracy (train),14,0.0,0.0
accuracy (train),15,0.0,0.0
accuracy (train),16,0.0018631995584044803,0.010006253422982017
accuracy (test),0,0.7316579203112441,0.15970375752431926
accuracy (test),1,0.5653662688187968,0.1624833009915768
accuracy (test),2,0.6246148345104503,0.16356991181955735
accuracy (test),3,0.6755804916192438,0.16529637728651647
accuracy (test),4,0.719735888865779,0.16118830572263315
accuracy (test),5,0.7497599985597895,0.07972552948500912
accuracy (test),6,0.7014980930026378,0.09861934996842389
accuracy (test),7,0.7361010187974903,0.08917840467524905
accuracy (test),8,0.7450832714013551,0.08531100971600121
accuracy (test),9,0.7502329562411585,0.08179496077039876
