metric,index,mean,std
time,0,1.396374763141979,1.1255918792535617
time,1,0.08279403773221103,0.046287656284682295
time,2,0.14173185175115413,0.08551844230419697
time,3,0.2715220581401478,0.1712779513669038
time,4,0.7018281113017689,0.5502887917812329
time,5,1.2134207898920233,1.0204393298396293
time,6,0.7799682097001509,0.5583613823497179
time,7,0.9332109928131104,0.7014071264766499
time,8,1.0663802320306952,0.8498512017233977
time,9,1.1609230691736394,0.9645123276000886
time,10,0.03282771110534668,0.024132426364779955
time,11,0.7894168116829612,0.6037269020774918
time,12,0.028786516189575194,0.020174627830930096
time,13,0.5276625676588579,0.3748144360024894
time,14,0.00512900785966353,0.0010990407026264407
time,15,0.004765761982310902,0.000874020189976148
time,16,0.00537724494934082,0.0011134979570812007
accuracy (train),0,0.9038005067137515,0.08609018954756993
accuracy (train),1,0.7688498328196139,0.10997624157624199
accuracy (train),2,0.7963660330375409,0.10917964252687727
accuracy (train),3,0.8328921101450683,0.10830870294585807
accuracy (train),4,0.8817817582786016,0.0959694521754956
accuracy (train),5,0.9606147182592748,0.07470696727287485
accuracy (train),6,0.8223065651898659,0.10713221973558679
accuracy (train),7,0.8946526729258656,0.08621031506711029
accuracy (train),8,0.9371284285520967,0.07728383527401075
accuracy (train),9,0.9566375008841544,0.07425374127221722
accuracy (train),10,0.9606271181187241,0.07470549153887598
accuracy (train),11,0.9605434073386553,0.07473844423414598
accuracy (train),12,0.5162838184047147,0.14377086470260725
accuracy (train),13,0.3349594925116405,0.13636626142962288
accuracy (train),14,0.05507782933955341,0.05952524095360968
accuracy (train),15,0.05428825739023609,0.060330979437271656
accuracy (train),16,0.06578289622561563,0.04079378543045972
accuracy (test),0,0.7508672081781755,0.12828012683027679
accuracy (test),1,0.7190367757781673,0.11610013763415954
accuracy (test),2,0.7336526062493827,0.11838944851064646
accuracy (test),3,0.7485279829046261,0.12118137052760904
accuracy (test),4,0.7565103252632985,0.12349525607469006
accuracy (test),5,0.7317498060002038,0.1404650745947615
accuracy (test),6,0.7293174586939644,0.12383877941049427
accuracy (test),7,0.7417958283230444,0.13003368319780176
accuracy (test),8,0.7366776607113092,0.13567785744594343
accuracy (test),9,0.7314277924369922,0.13933890131993282
accuracy (test),10,0.7263424851903585,0.13820587804817944
accuracy (test),11,0.6662979088665144,0.15198477106632913
accuracy (test),12,0.5118441041657831,0.14253398614984958
accuracy (test),13,0.32861098608326,0.1299094146753989
accuracy (test),14,0.055372796903848685,0.06339330512634478
accuracy (test),15,0.05284419395494469,0.05732127800431638
accuracy (test),16,0.0666052528108292,0.03992496760524779
precision (train),0,0.9038005067137515,0.08609018954756993
precision (train),1,0.7688498328196139,0.10997624157624199
precision (train),2,0.7963660330375409,0.10917964252687727
precision (train),3,0.8328921101450683,0.10830870294585807
precision (train),4,0.8817817582786016,0.0959694521754956
precision (train),5,0.9606147182592748,0.07470696727287485
precision (train),6,0.8223065651898659,0.10713221973558679
precision (train),7,0.8946526729258656,0.08621031506711029
precision (train),8,0.9371284285520967,0.07728383527401075
precision (train),9,0.9566375008841544,0.07425374127221722
precision (train),10,0.9606271181187241,0.07470549153887598
precision (train),11,0.9605434073386553,0.07473844423414598
precision (train),12,0.5162838184047147,0.14377086470260725
precision (train),13,0.3349594925116405,0.13636626142962288
precision (train),14,0.05507782933955341,0.05952524095360968
precision (train),15,0.05428825739023609,0.060330979437271656
precision (train),16,0.06344732006510401,0.035491769808129264
precision (test),0,0.7551931377946236,0.12716827460971192
precision (test),1,0.7266940168768949,0.11824126441129751
precision (test),2,0.7399948353078772,0.12007277469671951
precision (test),3,0.7534757997277982,0.12196740398296972
precision (test),4,0.7611463168958362,0.12259663281735358
precision (test),5,0.7372139196880801,0.14044077811940156
precision (test),6,0.7403962026661197,0.12302537544656315
precision (test),7,0.7479042473415726,0.13046570092106227
precision (test),8,0.7422369387432703,0.1352835818364405
precision (test),9,0.7373541732733395,0.1393138870161658
precision (test),10,0.7323364946168115,0.13668224494176875
precision (test),11,0.6735375128896394,0.15146448044130792
precision (test),12,0.5148978834618069,0.153973307418163
precision (test),13,0.23944055913928983,0.15659320893365847
precision (test),14,0.00708485777179672,0.016618735466927426
precision (test),15,0.006078237746795934,0.01194775307363703
precision (test),16,0.10910031805158281,0.07212543158732389
recall (train),0,0.9038005067137515,0.08609018954756993
recall (train),1,0.7688498328196139,0.10997624157624199
recall (train),2,0.7963660330375409,0.10917964252687727
recall (train),3,0.8328921101450683,0.10830870294585807
recall (train),4,0.8817817582786016,0.0959694521754956
